group;year;week;value
45to64;2018;35;5737
45to64;2018;36;5794
45to64;2018;37;5737
45to64;2018;38;5699
45to64;2018;39;5632
45to64;2018;40;5740
45to64;2018;41;5628
45to64;2018;42;5579
45to64;2018;43;5553
45to64;2018;44;5585
45to64;2018;45;5645
45to64;2018;46;5756
45to64;2018;47;5742
45to64;2018;48;5819
45to64;2018;49;5930
45to64;2018;50;6017
45to64;2018;51;6277
45to64;2018;52;6460
45to64;2019;0;0
45to64;2019;1;360
45to64;2019;2;715
45to64;2019;3;1069
45to64;2019;4;1569
45to64;2019;5;2060
45to64;2019;6;2552
45to64;2019;7;2997
45to64;2019;8;3240
45to64;2019;9;3576
45to64;2019;10;3793
45to64;2019;11;3738
45to64;2019;12;3821
45to64;2019;13;3860
45to64;2019;14;3849
45to64;2019;15;3861
45to64;2019;16;3845
45to64;2019;17;3878
45to64;2019;18;3816
45to64;2019;19;3855
45to64;2019;20;3875
45to64;2019;21;3884
45to64;2019;22;3882
45to64;2019;23;3854
45to64;2019;24;3891
45to64;2019;25;4038
45to64;2019;26;4135
45to64;2019;27;4353
45to64;2019;28;4276
45to64;2019;29;4456
45to64;2019;30;4477
45to64;2019;31;4451
45to64;2019;32;4404
45to64;2019;33;4211
45to64;2019;34;4143
45to64;2019;35;4104
45to64;2019;36;4033
45to64;2019;37;3917
45to64;2019;38;3890
45to64;2019;39;3876
45to64;2019;40;3911
45to64;2019;41;4002
45to64;2019;42;3957
45to64;2019;43;3975
45to64;2019;44;3983
45to64;2019;45;4124
45to64;2019;46;4144
45to64;2019;47;4183
45to64;2019;48;4303
45to64;2019;49;4402
45to64;2019;50;4560
45to64;2019;51;4862
45to64;2019;52;5043
65to74;2021;0;0
65to74;2021;1;939
65to74;2021;2;2087
65to74;2021;3;3530
65to74;2021;4;4921
65to74;2021;5;6148
65to74;2021;6;7040
65to74;2021;7;7827
65to74;2021;8;8393
65to74;2021;9;8907
65to74;2021;10;9548
65to74;2021;11;10145
65to74;2021;12;10649
65to74;2021;13;11309
65to74;2021;14;12035
65to74;2021;15;12713
65to74;2021;16;13532
65to74;2021;17;14184
65to74;2021;18;15022
65to74;2021;19;15484
65to74;2021;20;15851
65to74;2021;21;16043
65to74;2021;22;16191
65to74;2021;23;16437
65to74;2021;24;16670
65to74;2021;25;16729
65to74;2021;26;16880
65to74;2021;27;17013
65to74;2021;28;17155
65to74;2021;29;17532
65to74;2021;30;17779
65to74;2021;31;18216
65to74;2021;32;18759
65to74;2021;33;19220
65to74;2021;34;19656
65to74;2021;35;20126
65to74;2021;36;20523
65to74;2021;37;20739
65to74;2021;38;20917
65to74;2021;39;21094
65to74;2021;40;21382
65to74;2021;41;21822
65to74;2021;42;22055
65to74;2021;43;22402
65to74;2021;44;22735
65to74;2021;45;23288
65to74;2021;46;23866
65to74;2021;47;24791
65to74;2021;48;25844
65to74;2021;49;26883
65to74;2021;50;27921
65to74;2021;51;29072
65to74;2021;52;30158
65to74;2022;0;0
65to74;2022;1;991
65to74;2022;2;1970
65to74;2022;3;2910
65to74;2022;4;4177
65to74;2022;5;5329
65to74;2022;6;6062
65to74;2022;7;6740
65to74;2022;8;7132
65to74;2022;9;7542
65to74;2022;10;7896
65to74;2022;11;8277
65to74;2022;12;8662
65to74;2022;13;9058
65to74;2022;14;9544
65to74;2022;15;9853
65to74;2022;16;10154
65to74;2022;17;10430
65to74;2022;18;10585
65to74;2022;19;10770
65to74;2022;20;10976
65to74;2022;21;10933
65to74;2022;22;11102
65to74;2022;23;11266
65to74;2022;24;11592
65to74;2022;25;11865
65to74;2022;26;11981
65to74;2022;27;12257
65to74;2022;28;12859
